row_index,timestamp,event_type,entity_text,entity_label
63,2026-07-30 11:14:47.886140,email_sent,Jane Doe,PERSON
63,2026-07-30 11:14:47.886140,email_sent,John Doe,PERSON
63,2026-07-30 11:14:47.886140,email_sent,Project X,ORG
63,2026-07-30 11:14:47.886140,email_sent,London,GPE
65,2026-07-30 12:20:47.886141,email_sent,Email,PERSON
65,2026-07-30 12:20:47.886141,email_sent,Jane Doe,PERSON
65,2026-07-30 12:20:47.886141,email_sent,John Doe,PERSON
65,2026-07-30 12:20:47.886141,email_sent,Project X,ORG
65,2026-07-30 12:20:47.886141,email_sent,London,GPE
69,2026-07-30 11:57:47.886144,login,IP 192.168.1.208,ORG
72,2026-07-30 12:16:47.886146,email_sent,Email,PERSON
72,2026-07-30 12:16:47.886146,email_sent,Jane Doe,PERSON
72,2026-07-30 12:16:47.886146,email_sent,John Doe,PERSON
72,2026-07-30 12:16:47.886146,email_sent,Project X,ORG
72,2026-07-30 12:16:47.886146,email_sent,London,GPE
75,2026-07-30 10:49:47.886148,network_connection,8080,CARDINAL
79,2026-07-30 12:06:47.886152,email_sent,Email,PERSON
79,2026-07-30 12:06:47.886152,email_sent,Jane Doe,PERSON
79,2026-07-30 12:06:47.886152,email_sent,John Doe,PERSON
79,2026-07-30 12:06:47.886152,email_sent,Project X,ORG
79,2026-07-30 12:06:47.886152,email_sent,London,GPE
80,2026-07-30 11:44:47.886152,network_connection,8080,CARDINAL
82,2026-07-30 11:18:47.886154,email_sent,Email,PERSON
82,2026-07-30 11:18:47.886154,email_sent,Jane Doe,PERSON
82,2026-07-30 11:18:47.886154,email_sent,John Doe,PERSON
82,2026-07-30 11:18:47.886154,email_sent,Project X,ORG
82,2026-07-30 11:18:47.886154,email_sent,London,GPE
83,2026-07-30 11:49:47.886154,login,IP,ORG
83,2026-07-30 11:49:47.886154,login,192.168.1.129,CARDINAL
84,2026-07-30 11:44:47.886155,email_sent,Email,PERSON
84,2026-07-30 11:44:47.886155,email_sent,Jane Doe,PERSON
84,2026-07-30 11:44:47.886155,email_sent,John Doe,PERSON
84,2026-07-30 11:44:47.886155,email_sent,Project X,ORG
84,2026-07-30 11:44:47.886155,email_sent,London,GPE
85,2026-07-30 10:55:47.886156,login,IP,ORG
87,2026-07-30 11:33:47.886157,network_connection,8080,CARDINAL
88,2026-07-30 11:39:47.886158,login,IP 192.168.1.174,ORG
89,2026-07-30 12:05:47.886159,email_sent,Email,PERSON
89,2026-07-30 12:05:47.886159,email_sent,Jane Doe,PERSON
89,2026-07-30 12:05:47.886159,email_sent,John Doe,PERSON
89,2026-07-30 12:05:47.886159,email_sent,Project X,ORG
89,2026-07-30 12:05:47.886159,email_sent,London,GPE
90,2026-07-30 11:09:47.886159,network_connection,8080,CARDINAL
92,2026-07-30 10:58:47.886161,network_connection,8080,CARDINAL
93,2026-07-30 12:11:47.886162,login,IP,ORG
93,2026-07-30 12:11:47.886162,login,192.168.1.41,CARDINAL
96,2026-07-30 11:03:47.886164,network_connection,8080,CARDINAL
97,2026-07-30 11:24:47.886165,email_sent,Email,PERSON
97,2026-07-30 11:24:47.886165,email_sent,Jane Doe,PERSON
97,2026-07-30 11:24:47.886165,email_sent,John Doe,PERSON
97,2026-07-30 11:24:47.886165,email_sent,Project X,ORG
97,2026-07-30 11:24:47.886165,email_sent,London,GPE
99,2026-07-30 10:49:47.886167,login,IP 192.168.1.251,ORG
